Date,Open,High,Low,Adj_Close,Volume
20-Apr-21,"62,325.85","62,348.52","61,064.63","61,116.77",112.16M
19-Apr-21,"62,898.13","63,004.45","62,319.63","62,325.85",82.77M
16-Apr-21,"62,080.02","62,954.33","62,037.84","62,898.13",115.08M
15-Apr-21,"62,084.39","62,375.26","61,936.44","62,080.02",119.06M
14-Apr-21,"61,382.99","62,162.28","61,377.89","62,084.39",144.02M
13-Apr-21,"60,672.56","61,476.96","60,604.07","61,382.99",113.22M
12-Apr-21,"61,458.47","61,458.47","60,535.01","60,672.56",103.88M
09-Apr-21,"61,303.19","61,529.54","61,133.11","61,458.47",86.07M
08-Apr-21,"61,409.52","62,238.22","61,201.78","61,303.19",113.46M
07-Apr-21,"62,372.24","62,463.34","61,296.40","61,409.52",129.05M
06-Apr-21,"61,590.24","62,402.52","61,590.24","62,372.24",86.35M
01-Apr-21,"60,881.15","61,890.23","60,847.03","61,590.24",143.39M
31-Mar-21,"61,589.91","61,635.78","60,769.36","60,881.15",121.31M
30-Mar-21,"61,443.90","61,696.83","61,098.12","61,589.91",122.69M
29-Mar-21,"61,244.27","61,765.44","60,979.38","61,443.90",117.33M
26-Mar-21,"59,278.89","61,288.26","59,278.89","61,244.27",128.59M
25-Mar-21,"59,768.81","59,892.25","58,980.48","59,278.89",146.31M
24-Mar-21,"59,793.26","59,943.96","58,810.62","59,768.81",138.42M
23-Mar-21,"60,313.40","60,328.29","59,657.69","59,793.26",169.56M
19-Mar-21,"61,050.33","61,056.44","59,987.65","60,313.40",245.76M
18-Mar-21,"60,810.17","61,795.87","60,810.17","61,050.33",339.53M
17-Mar-21,"61,623.63","61,729.03","60,591.79","60,810.17",137.73M
16-Mar-21,"61,921.05","62,167.47","61,371.90","61,623.63",136.55M
15-Mar-21,"62,587.78","62,587.78","61,901.38","61,921.05",132.93M
12-Mar-21,"63,187.54","63,187.54","62,079.26","62,587.78",145.71M
11-Mar-21,"62,886.16","63,320.75","62,854.53","63,187.54",132.14M
10-Mar-21,"63,098.33","63,098.33","62,415.47","62,886.16",116.35M
09-Mar-21,"62,910.60","63,487.75","62,493.77","63,098.33",136.52M
08-Mar-21,"62,788.64","62,991.41","62,398.83","62,910.60",131.90M
05-Mar-21,"62,250.03","62,981.87","62,038.76","62,788.64",102.05M
04-Mar-21,"62,861.62","62,934.93","62,118.90","62,250.03",115.99M
03-Mar-21,"63,104.70","63,962.53","62,736.44","62,861.62",104.86M
02-Mar-21,"62,107.04","63,121.67","61,847.54","63,104.70",112.98M
01-Mar-21,"60,754.30","62,410.78","60,754.30","62,107.04",106.79M
26-Feb-21,"62,063.35","62,063.35","60,441.51","60,754.30",255.11M
25-Feb-21,"60,747.41","62,152.19","60,747.41","62,063.35",145.92M
24-Feb-21,"60,493.97","61,464.77","60,274.14","60,747.41",130.63M
23-Feb-21,"61,903.64","62,236.72","60,332.78","60,493.97",122.83M
22-Feb-21,"62,105.24","62,188.71","61,695.33","61,903.64",110.45M
19-Feb-21,"61,206.58","62,125.53","60,874.87","62,105.24",133.10M
18-Feb-21,"61,738.47","61,766.77","61,163.77","61,206.58",157.98M
17-Feb-21,"61,775.45","62,174.56","61,670.11","61,738.47",128.12M
16-Feb-21,"61,711.35","62,222.60","61,533.40","61,684.20",0
